"Date","EW","MAXSER","MAXSER_ALL_Long_Only","MAXSER_H_ALL_Long_Only","SSE","SZ100","SSE50","HS300","CSI500","CYB50"
2017-06-29,-0.120717964157,-0.0378963682118317,-0.0400099383256619,-0.0515262865515204,-0.0306792562401855,-0.00522199610855834,-0.000674834882700481,-0.00160230113083581,-0.0772605483103002,-0.109550449987303
2017-06-30,-0.122198145011984,-0.0384363925190752,-0.0395265357453191,-0.0504572480976484,-0.0293523950543718,-0.00497447363861425,-0.0018522730075049,-0.00215472492424573,-0.0740682915467797,-0.109238180720373
2017-07-03,-0.10807579430501,-0.0357314416128245,-0.0356043229004268,-0.0476678704609891,-0.0282927911972312,-0.011598126400504,-0.00795866753774122,-0.00649546971669912,-0.0681489949112754,-0.0985117033699864
2017-07-04,-0.110251931561713,-0.0345031926211091,-0.0366299889939866,-0.0488804587045714,-0.0322782395069579,-0.0187296855639556,-0.0170466266280295,-0.0148939441562134,-0.0727563618108221,-0.103095390131956
2017-07-05,-0.104346362866301,-0.0297959660325791,-0.03194605821554,-0.0434722046653695,-0.0248804715161157,-0.0087843783230499,-0.00258347460894615,-0.00409174589049754,-0.0656495854833022,-0.0965237198501793
2017-07-06,-0.103508815286395,-0.0240627004708202,-0.0281848806300471,-0.0390195321588738,-0.0232659818514341,-0.0107131122359094,-0.000320977148384527,-0.00397826770239307,-0.0644897110737611,-0.0964340195221565
2017-07-07,-0.107083244200935,-0.0324217494686316,-0.0336233143446636,-0.043736716977349,-0.0215900746891505,-0.0110130512289007,-0.00432223130787646,-0.00511223319359433,-0.0608154932309736,-0.0966044501453999
2017-07-10,-0.120350534174765,-0.0332153253413167,-0.0392757744291959,-0.0492778356215389,-0.0232091250590998,-0.0160382427069449,-0.00179473198212432,-0.00572262066582008,-0.0637501006913993,-0.114616276012396
2017-07-11,-0.13312524125067,-0.0504395549376607,-0.0536862347536766,-0.0630674238199115,-0.0261261521481687,-0.0113222116472429,0,-0.00106321170485313,-0.0754502150044214,-0.124910509907122
2017-07-12,-0.134322521508856,-0.03794489258452,-0.0449684317655294,-0.0540731532904186,-0.0277965864641314,-0.0134094084746843,-0.00211974600393439,-0.00432468912555117,-0.0748471225490506,-0.122651182895046
2017-07-13,-0.138621880740783,-0.0465385124610207,-0.0524224329165893,-0.0616230400547783,-0.0215271369564596,-0.0109375811424766,0,0,-0.0722915974648998,-0.129692098017792
2017-07-14,-0.14699199352882,-0.0355755131380069,-0.0487247744683603,-0.0585302350126516,-0.0202340249896249,-0.011759016005968,0,0,-0.07548868138164,-0.144651870223809
2017-07-17,-0.199407513231851,-0.0615619574706823,-0.079965378310025,-0.0887116318045146,-0.0342055935529877,-0.0372708172463952,0,-0.0106767476061911,-0.113544750576468,-0.190859872950699
2017-07-18,-0.193106892802893,-0.0589015875598751,-0.07681403331967,-0.0862814617311237,-0.0308297595140117,-0.0340496277698861,-0.00270044926415991,-0.00969837654674721,-0.104195912426993,-0.183109764609522
2017-07-19,-0.188657962693854,-0.0572065005904963,-0.0735840291606649,-0.0831052646808258,-0.0176313825169927,-0.0126190352544802,0,0,-0.0859547038043701,-0.175896176355331
2017-07-20,-0.185722952642055,-0.0601353197680113,-0.0752560303807996,-0.0835638302460978,-0.013408777533358,-0.0035242831676473,0,0,-0.0799320759202592,-0.172905791669868
2017-07-21,-0.187720049607863,-0.0586749490675527,-0.0746020115624542,-0.0833161708716351,-0.0155015331570876,-0.00632128707801694,-0.0098429982502003,-0.00514610377482327,-0.075885563885412,-0.170908838117259
2017-07-24,-0.184704991546227,-0.0405258742256241,-0.0630110810492489,-0.0728444510148981,-0.011665371933116,-0.00184501307743745,-0.00415314798863065,-0.00117826485558248,-0.0696977568520689,-0.172457290029754
2017-07-25,-0.183001383383068,-0.0441615578431035,-0.0648933208474964,-0.0743871263670438,-0.0137660327793092,-0.0102493716083965,-0.00839446126879984,-0.00755759783387078,-0.0717387375727206,-0.170357741726968
2017-07-26,-0.182003164076432,-0.030412440366242,-0.0563604580856555,-0.0649666161256105,-0.0125544054132534,-0.0184547414870472,-0.0109730146677031,-0.0113386646971997,-0.072778989091539,-0.171834994004095
2017-07-27,-0.148437052960836,-0.0335538761187711,-0.0467763270934941,-0.0571055892576022,-0.0119137783466838,-0.0139173148762461,-0.010813191628574,-0.00952270667928878,-0.0671496233462854,-0.139983528777268
2017-07-28,-0.150386221069705,-0.0366506766091282,-0.0508368414177319,-0.0607433279742288,-0.010862079712007,-0.0071735409157071,-0.0109006065772056,-0.00693538007046091,-0.0624064927624383,-0.144752783092835
2017-07-31,-0.144513230204168,-0.0339169336800369,-0.0481758452138089,-0.0583208685677611,-0.00484559732317025,-0.00262203949779161,-0.0102511847914496,-0.00267110721676533,-0.0499559069723102,-0.143064735044855
2017-08-01,-0.141462285572191,-0.0146423082512352,-0.0354419791398242,-0.0446249460444861,0,0,0,0,-0.0516852346132232,-0.139314700706448
2017-08-02,-0.148241369379594,-0.00674188019345356,-0.0327636474335147,-0.0413358287303305,-0.00230271290071971,-0.00232360358192496,-0.00043776486359004,-0.00252759534710278,-0.0569157568237094,-0.145464779446517
2017-08-03,-0.140090318881519,-0.0133413757342701,-0.0353660968092516,-0.0446507667364052,-0.00598608167675885,-0.0109890269828131,-0.0132705398043483,-0.0112869199990877,-0.0553914323460905,-0.140856985721391
2017-08-04,-0.148268129636153,-0.0196067326810649,-0.0422175449330306,-0.052043656214417,-0.00928070440783357,-0.019551599572684,-0.0201368108419516,-0.0166569329049417,-0.060950502672584,-0.147847444409625
2017-08-07,-0.140387490050161,-0.00330622817944259,-0.029386810462789,-0.0392109488257035,-0.00400347684743974,-0.0120182628109904,-0.0177604262800614,-0.0115606323178926,-0.0491383078957447,-0.142975034716832
2017-08-08,-0.127320648051303,-0.0133077281120184,-0.0326472737917639,-0.0438074055443213,-0.00326971868756898,-0.00832703452973393,-0.0173841871426146,-0.0101236426441672,-0.0490936567284636,-0.134238783394453
2017-08-09,-0.127255281021714,-0.000961978296626032,-0.0252139625536838,-0.0372706305563422,-0.0051827744197811,-0.00400657274899818,-0.0229043498688382,-0.0104334255786285,-0.043616949703779,-0.132234541690191
2017-08-10,-0.134513027423249,-0.0283345124434251,-0.0436315029375818,-0.056389057693181,-0.00938123170539829,-0.008944381968506,-0.0262748410119302,-0.0144446902197178,-0.0512808096825457,-0.13846254759023
2017-08-11,-0.140946989734473,-0.0261766816230857,-0.0441707188973812,-0.0566635090674261,-0.0255409188620186,-0.0293221840466745,-0.0415947468216369,-0.0326311763635622,-0.0705934954713765,-0.143990890931691
2017-08-14,-0.111402864680335,-0.00912382840790427,-0.0260541933595932,-0.0395846324156521,-0.0167883624012111,-0.00862442862008128,-0.0336907418697483,-0.0200772759895415,-0.0507643042880512,-0.11631833973663
2017-08-15,-0.106915854640229,-0.0130915338821577,-0.0277221151315842,-0.0407644755946941,-0.0125665196113266,-0.00607038100403701,-0.0285494284632926,-0.0170608707552707,-0.0474276854735577,-0.113564539666328
