"Date","EW","Factor","MAXSER","MAXSER_Fac_Constraint","MAXSER_H","MAXSER_Stock_Long_Only","MAXSER_ALL_Long_Only","MAXSER_H_Stock_Long_Only","MAXSER_H_ALL_Long_Only","CYB_ETF","SSE50_ETF","SSE380_ETF","SSE_ETF","HS300_ETF","CSI500_ETF","SZ300_ETF","SZ_ETF","SZ100_ETF","Med_ETF","Bat_ETF","Tech_ETF","Gold_ETF","Bond_ETF","HSI_ETF","FinH_ETF","Brok_ETF","Insur_ETF","Bank_ETF","Bonus_ETF","Fin_ETF","NewE_ETF","SSE","SZ","SZ100","SSE50","CSI500","HS300","CSI100","CYB","SSE380","CYB50"
2019-11-26,-0.0988994252228519,-0.0294706561346698,-0.0448715800667217,-0.0429263928714414,-0.0365159137519483,-0.0415519572537784,-0.0385268958277104,-0.0334613646682697,-0.0344109138772419,-0.156790770844258,-0.0401156952957568,-0.170212765957447,-0.0909978043425225,-0.0850060726808951,-0.253220099079972,-0.196782178217822,-0.161010260457773,-0.100813910469847,-0.11914696337506,0,-0.0537720706260031,-0.084712482468443,-0.00120468732887957,-0.0838014018691595,-0.0671748451643632,-0.22463768115942,-0.102947281029473,-0.0682392586352149,-0.022421524663677,-0.066150084317031,0,-0.183287376052301,-0.17253236425823,-0.118842246154546,-0.0737969138152214,-0.272385114584365,-0.113495456031307,-0.0901861079499982,-0.156903239412221,-0.236955115056383,-0.236539246736338
2019-11-27,-0.0997747482268243,-0.0331121861868171,-0.0446422380100506,-0.0424319421554307,-0.0371216168204578,-0.0415734856645302,-0.0386757056460435,-0.0321519776057537,-0.0338298047750237,-0.155217619297326,-0.0417192440841032,-0.168439716312057,-0.0951451573554525,-0.0863987575017767,-0.249823071479123,-0.199876237623762,-0.163378058405681,-0.102848686644468,-0.120537783959205,0,-0.0441412520064204,-0.0833099579242635,-0.000876136239185032,-0.0844158878504682,-0.0676512625059544,-0.228260869565218,-0.105437941054379,-0.0732940185341198,-0.0242152466367713,-0.0690944350758842,0,-0.184373494331312,-0.174998546387345,-0.124637577881879,-0.0745025915188549,-0.269092326823866,-0.117148171307448,-0.093953206540953,-0.159260179808342,-0.23644096444399,-0.238371643915738
2019-11-28,-0.105020645054443,-0.0348204841503271,-0.0515479388068885,-0.0493820633172974,-0.0434877706334278,-0.0482843291998707,-0.0449111378929146,-0.0389051044976625,-0.0402523358977944,-0.155217619297326,-0.0449263416607962,-0.174940898345154,-0.0970968528909488,-0.087791442322658,-0.251238499646144,-0.198019801980198,-0.163378058405681,-0.103773584905659,-0.118683356513679,0,-0.0449438202247189,-0.0852734922861149,-0.000901409399930664,-0.0856448598130849,-0.0676512625059544,-0.229166666666667,-0.108343711083437,-0.0758213984835722,-0.0286995515695068,-0.0717116357504206,0,-0.188166480074956,-0.177243009833262,-0.126646789941016,-0.0788529609702086,-0.271327410468484,-0.120181508171625,-0.0971968160607589,-0.159558437711046,-0.239230670096138,-0.239613657180064
2019-11-29,-0.111485176353727,-0.0416840648315362,-0.06413134995569,-0.062045071176717,-0.0578309768238187,-0.0596309168466522,-0.0555994223384281,-0.0543535754936071,-0.0548536828802263,-0.160985841636078,-0.0577547319675685,-0.180851063829788,-0.104903635032935,-0.0977723502056416,-0.251238499646144,-0.204826732673267,-0.167324388318862,-0.113947465778763,-0.145572554473808,0,-0.0505617977528087,-0.0841514726507712,0,-0.104693925233646,-0.0795616960457353,-0.22554347826087,-0.112079701120797,-0.0817186183656278,-0.0385650224215247,-0.0771461495222026,0,-0.193142508775899,-0.180662248824283,-0.134022758186568,-0.0900953969382081,-0.270480591420093,-0.127842756700915,-0.106496717035359,-0.164026280839441,-0.240661452738629,-0.244585572562048
2019-12-02,-0.111770376319423,-0.0399536466601058,-0.0673859448772938,-0.0653039444810519,-0.0607498965340812,-0.0621665161296695,-0.0578726315552233,-0.0573623272721585,-0.0577711742406575,-0.157839538542213,-0.0557083339577676,-0.170212765957447,-0.102951939497438,-0.095915437111133,-0.248832271762209,-0.204826732673267,-0.164956590370953,-0.11006289308176,-0.157162726008347,0,-0.0529695024077045,-0.0830294530154275,0,-0.0991635514018699,-0.0762267746545966,-0.220108695652174,-0.110004151100041,-0.0808761583824769,-0.0376681614349776,-0.074398538504777,0,-0.192067628140747,-0.178692774690038,-0.132478960242322,-0.0886104875965755,-0.268918849637606,-0.126159796896729,-0.104909320523937,-0.161696956915793,-0.239337447437885,-0.242960637393927
2019-12-03,-0.109713565595018,-0.0386533126817796,-0.0664209577422961,-0.0641203026491652,-0.060594842499989,-0.0618276679747826,-0.0575113807179156,-0.0585369887443722,-0.05799013236302,-0.154168851599371,-0.0524487838506145,-0.171394799054374,-0.101488167845816,-0.0922016109221159,-0.245576786978061,-0.201732673267327,-0.161799526440409,-0.105623381428042,-0.156699119146966,0,-0.0481540930979131,-0.0807854137447402,0,-0.102235981308412,-0.0728918532634579,-0.214673913043478,-0.103362391033624,-0.0775063184498738,-0.0358744394618835,-0.0716509274873514,0,-0.189569780851899,-0.174206669516887,-0.127730005058762,-0.0854093197864175,-0.265784039383495,-0.122736244799122,-0.101270181042352,-0.158759568480065,-0.236276665659059,-0.238868228517201
2019-12-04,-0.11378168487493,-0.0388582750135558,-0.0618222456800458,-0.0595143784985995,-0.0570833417913675,-0.057345499865898,-0.0533842624218303,-0.0534942410485796,-0.053498254718377,-0.154693235448348,-0.0544045139149064,-0.171985815602837,-0.101732129787753,-0.0917373826484887,-0.247133757961784,-0.198019801980198,-0.1594317284925,-0.1015538290788,-0.150672229949005,0,-0.0449438202247189,-0.0639551192145862,-0.000159637035792248,-0.106537383177571,-0.075273939971414,-0.218297101449276,-0.104607721046077,-0.0825610783487785,-0.0367713004484305,-0.0735399100618316,0,-0.19141921609006,-0.171616075245831,-0.124205982785717,-0.0880990677195992,-0.266646358111758,-0.123025090634492,-0.102216023118825,-0.159565969476267,-0.236243266111404,-0.238175768878494
2019-12-05,-0.107679834288602,-0.0351924732222058,-0.054551413280036,-0.0524470496644802,-0.0508160490645345,-0.0500901231327827,-0.0465628602237541,-0.0468452047183153,-0.0468551405511929,-0.13581541688516,-0.048537323722031,-0.16548463356974,-0.0975847767748231,-0.0850060726808951,-0.240056617126681,-0.189356435643564,-0.145224940805049,-0.0917499075101725,-0.144645340751045,0,-0.024879614767255,-0.0684431977559606,-0.00032767602083672,-0.105308411214954,-0.0686040971891366,-0.204710144927537,-0.0933997509339972,-0.0758213984835722,-0.0313901345291481,-0.0658122540753221,0,-0.185420280856815,-0.162114664386489,-0.114991508004137,-0.0815354792431745,-0.259651531427986,-0.116295073788948,-0.0971526239972137,-0.141466133417689,-0.230680723265519,-0.218901113453031
2019-12-06,-0.10315115826891,-0.0319567555159567,-0.0421305566358932,-0.0404764900005067,-0.0385770118756928,-0.0377272994982433,-0.0350485339305635,-0.0319147057560084,-0.03336792361915,-0.128474042999476,-0.0429960885398707,-0.158983451536643,-0.0939253476457673,-0.0794353333973693,-0.232696390658175,-0.183787128712871,-0.142067876874505,-0.0860155382907868,-0.139545665275848,0,-0.019261637239165,-0.0751753155680224,-0.000504116955133416,-0.100392523364487,-0.0666984278227716,-0.201992753623189,-0.0900788709007885,-0.0775063184498738,-0.0269058295964126,-0.0656405283867332,0,-0.181895874801411,-0.155312355707567,-0.108795581947811,-0.0759180332558089,-0.25325672119772,-0.111050745065075,-0.0918484770667373,-0.132942685777266,-0.225629632078681,-0.211185292267629
2019-12-09,-0.10239565948885,-0.0319465743222116,-0.0563971325051322,-0.0549459712448942,-0.0521965009871036,-0.0506425918704105,-0.0469335120510351,-0.0456463145763363,-0.0465088157963877,-0.13162034609334,-0.0446258635934472,-0.15661938534279,-0.0939253476457673,-0.0824528171759457,-0.23099787685775,-0.186262376237624,-0.139700078926596,-0.0910099889012197,-0.156699119146966,0,-0.0224719101123594,-0.0813464235624124,-0.00194085027726409,-0.0979345794392532,-0.0666984278227716,-0.201992753623189,-0.0979659609796595,-0.0775063184498738,-0.0269058295964126,-0.0685598650927477,0,-0.181203635939672,-0.155513638306968,-0.112500777535476,-0.0780479540218764,-0.251156216504298,-0.112631424285601,-0.0934048731753732,-0.135820322208917,-0.224171185164395,-0.215101689491169
2019-12-10,-0.102201689864445,-0.0304342400389747,-0.0449469877485534,-0.0436074409339673,-0.04239455573602,-0.0390187593791451,-0.0361771504424101,-0.0345546135077469,-0.0362468603926275,-0.124278972207656,-0.0439739535720166,-0.15661938534279,-0.0922176140522079,-0.0817564747655051,-0.227459306440199,-0.183787128712871,-0.140489344909233,-0.0882352941176457,-0.149745016226242,0,-0.0112359550561795,-0.0799438990182327,-0.00252898672492019,-0.0997780373831781,-0.0666984278227716,-0.203804347826087,-0.0992112909921128,-0.0800336983993261,-0.0269058295964126,-0.069246767847104,0,-0.180406325107847,-0.152127832407011,-0.110670524450446,-0.0768060241300917,-0.247512748486695,-0.111506565661742,-0.0932386582498007,-0.129317396118129,-0.221415553798239,-0.203795009876519
2019-12-11,-0.0969132271990162,-0.0280635322577449,-0.0443652865683736,-0.0429684034641087,-0.041704030293429,-0.0386644038841176,-0.035762951567186,-0.0348085654377869,-0.0359535264325904,-0.133193497640273,-0.0394105834220022,-0.158983451536643,-0.0895340326909002,-0.08094053314992,-0.230431705590942,-0.1875,-0.141278610891869,-0.0930447650758405,-0.150208623087624,0,-0.0184590690208665,-0.0793828892005608,-0.00221811460258758,-0.094862149532711,-0.0628870890900418,-0.203804347826087,-0.0950601909506016,-0.0707666385846674,-0.0224215246636772,-0.0640949971894312,0,-0.178411081440611,-0.157527746900384,-0.116188258399044,-0.0728287680124634,-0.250757695889127,-0.110967827175426,-0.0911754825069782,-0.13723177501111,-0.222756933611147,-0.212219843520677
2019-12-12,-0.0996231101455773,-0.0291263153607386,-0.0481092128916418,-0.0464916806355543,-0.0459626447573573,-0.0424779999240898,-0.0393088459807149,-0.0400077319010093,-0.040498586670567,-0.131095962244363,-0.0426701335291555,-0.153664302600473,-0.0907538424005855,-0.0835327521589843,-0.231988676574664,-0.188118811881188,-0.146803472770322,-0.0958194598594142,-0.152526657394532,0,-0.019261637239165,-0.0743338008415146,-0.00220131070408303,-0.080114485981309,-0.0643163411148155,-0.207427536231884,-0.0979659609796595,-0.0741364785172705,-0.0251121076233186,-0.0647818999437878,0,-0.180860606860864,-0.158936810602821,-0.117999991545246,-0.0764756600915535,-0.253034509441094,-0.113638739966991,-0.0940116895703209,-0.135862500094147,-0.223886108217235,-0.211901477615072
2019-12-13,-0.0816250393328718,-0.0160259453630358,-0.0321018977575823,-0.030780830644597,-0.0316815519538668,-0.0275130254006379,-0.0250597196004163,-0.0257171915421446,-0.0251528905549692,-0.112218143681175,-0.0221349678540912,-0.145390070921986,-0.0758721639424251,-0.0649159065484313,-0.221514508138713,-0.17759900990099,-0.130228887134963,-0.0769515353311122,-0.138618451553085,0,-0.00321027287319398,-0.0852734922861148,-0.00217610485632647,-0.0659813084112157,-0.0424011434016188,-0.17572463768116,-0.0660024906600246,-0.0572872788542547,-0.00448430493273566,-0.0402251264755471,0,-0.166257850547766,-0.144538349722103,-0.101220323056177,-0.0550167712400352,-0.243841410852399,-0.096053541265886,-0.074162197625149,-0.11857609467931,-0.214047242479368,-0.192494951389888
2019-12-16,-0.0829419985584886,-0.0125937796118736,-0.0514034772265627,-0.0497179919453457,-0.049401674620991,-0.0461564965677251,-0.0420902389113762,-0.0438361281170226,-0.0419996495144022,-0.100681699003671,-0.0244166529290986,-0.135933806146572,-0.0719687728714321,-0.0620880312658157,-0.209200283085634,-0.16460396039604,-0.119179163378057,-0.0686274509803909,-0.135373203523415,0,0,-0.07601683029453,-0.00230213409511004,-0.0629088785046735,-0.0414483087184362,-0.162137681159421,-0.0626816106268159,-0.0572872788542547,-0.00627802690582979,-0.0398816750983689,0,-0.161561639178923,-0.131403078238563,-0.0919597497312095,-0.0572519935788052,-0.2300773970553,-0.0916513758333065,-0.0733311229972857,-0.106063322060792,-0.204597532077062,-0.180019642679794
2019-12-17,-0.0712501653425419,-0.00146252449448858,-0.0474708341760919,-0.0464204010821881,-0.045281585910492,-0.0419946728477405,-0.0378592623229451,-0.0386038827963935,-0.0363101985580451,-0.0886208704771894,-0.0139860925862089,-0.128250591016549,-0.0592827518907052,-0.047477342305635,-0.196744515215853,-0.151608910891089,-0.106550907655878,-0.0538290788013306,-0.126101066295784,0,0,-0.0765778401122017,-0.00277264325323456,-0.0573785046728978,-0.0262029537875168,-0.139492753623189,-0.0477376504773762,-0.0471777590564449,0,-0.0235677346824048,0,-0.150877730220694,-0.118766053869174,-0.0772029819517158,-0.046583215432245,-0.219641492404561,-0.0792927377368644,-0.0608278470681971,-0.0953767514492376,-0.195106156582479,-0.169314382193583
2019-12-18,-0.073859864514814,-0.00423240135577796,-0.0506854057640503,-0.0493111091677335,-0.0485044673413794,-0.0451341274088346,-0.0408447457558312,-0.0420235579203551,-0.0397814629403003,-0.0954378605138961,-0.0165937326719313,-0.127659574468085,-0.0624542571358869,-0.0510121864089046,-0.197452229299364,-0.150371287128713,-0.108129439621151,-0.056973732889381,-0.139545665275848,0,-0.00778816199376964,-0.0757363253856941,-0.00250378087716341,-0.0543060747663558,-0.0295378751786554,-0.136775362318841,-0.0514736405147361,-0.0446503791069927,0,-0.0237394603709939,0,-0.152388350496494,-0.119738349722103,-0.0793027806681634,-0.048896078035067,-0.219781287594176,-0.0813467778768681,-0.0630108470629203,-0.0999957319997092,-0.196589062761462,-0.172874893786074
